median,q1,q3,n,beta_mid
1685.742616114595,1682.2930166475442,1693.8019975739212,6,0.512
1690.1603407239702,1681.6185666755712,1699.479545285349,6,0.5375000000000001
1686.504722424152,1683.1276340912275,1689.1424423696749,5,0.5609999999999999
1686.571608196994,1686.326263975135,1693.7452359734098,6,0.5905
1696.2235534394267,1689.93313803908,1701.3064408238158,6,0.6265000000000001
1707.2346098348164,1701.8860084978455,1712.8233114336638,5,0.658
1702.8425985430388,1697.728560101291,1705.2966283276476,6,0.7325
1710.341409315443,1708.1023660839403,1710.3959698185258,5,0.882
1717.4348108950217,1710.80558797383,1764.6584465215024,6,1.0699999999999998
1794.3961905577792,1751.449185084869,1843.9691422808864,6,1.568
