number,value,datetime_start,datetime_complete,duration,params_batch_size,params_beta,params_hidden_dim,params_lr,params_z_dim,state
0,2015.5407178391256,2026-08-17 03:22:33.062278,2026-08-17 03:22:41.921809,0 days 00:00:08.859531,5000,1.4041450641074658,194,0.0004311710058685488,36,COMPLETE
1,1795.2507786772176,2026-08-17 03:22:41.922280,2026-08-17 03:24:04.082266,0 days 00:01:22.159986,128,1.2933423796293568,209,0.0005059803874660431,26,COMPLETE
2,1793.5416024383408,2026-08-17 03:24:04.083144,2026-08-17 03:24:45.437866,0 days 00:00:41.354722,256,1.967927513349146,230,0.0024973286104060573,51,COMPLETE
3,1986.5539101912836,2026-08-17 03:24:45.438255,2026-08-17 03:26:06.794879,0 days 00:01:21.356624,128,1.1219929099857855,163,6.218230782016852e-05,61,COMPLETE
4,1860.208596815443,2026-08-17 03:26:06.795300,2026-08-17 03:26:30.787231,0 days 00:00:23.991931,512,1.9156221177719361,174,0.0011103525577197586,40,COMPLETE
5,2402.6232614559976,2026-08-17 03:26:30.787535,2026-08-17 03:26:31.204346,0 days 00:00:00.416811,1024,0.69338944648228,89,8.836597074694351e-05,44,PRUNED
6,2429.5719393742993,2026-08-17 03:26:31.204613,2026-08-17 03:26:31.453306,0 days 00:00:00.248693,5000,1.4796624881980978,54,5.752740814116689e-05,15,PRUNED
7,1780.2075628785274,2026-08-17 03:26:31.453548,2026-08-17 03:26:45.273065,0 days 00:00:13.819517,1024,1.0530877559914462,59,0.0029038868465087945,10,COMPLETE
8,2503.2741294142374,2026-08-17 03:26:45.273417,2026-08-17 03:26:45.538518,0 days 00:00:00.265101,5000,1.6088953690974526,180,1.3108813258313493e-05,63,PRUNED
9,2398.095096605241,2026-08-17 03:26:45.538761,2026-08-17 03:26:45.781921,0 days 00:00:00.243160,5000,1.5387081790550297,43,0.0005009615137983939,28,PRUNED
10,1731.9408438301941,2026-08-17 03:26:45.782192,2026-08-17 03:27:00.312978,0 days 00:00:14.530786,1024,0.5311532521504002,97,0.006150650717902697,3,COMPLETE
11,1721.6540226273473,2026-08-17 03:27:00.313387,2026-08-17 03:27:14.636335,0 days 00:00:14.322948,1024,0.6651914261196059,110,0.009738487017192219,2,COMPLETE
12,2143.499721920544,2026-08-17 03:27:14.636674,2026-08-17 03:27:15.090678,0 days 00:00:00.454004,1024,0.5877658531554291,119,0.008609272984475459,2,PRUNED
13,2123.447332134161,2026-08-17 03:27:15.090952,2026-08-17 03:27:15.526386,0 days 00:00:00.435434,1024,0.8064561679982376,120,0.008020098617316238,2,PRUNED
14,1750.0218752189603,2026-08-17 03:27:15.526651,2026-08-17 03:27:29.702708,0 days 00:00:14.176057,1024,0.5085706206820245,130,0.003796464870262428,15,COMPLETE
15,1701.3985896773402,2026-08-17 03:27:29.703121,2026-08-17 03:28:14.244060,0 days 00:00:44.540939,256,0.8680030531315309,16,0.008845630175763652,10,COMPLETE
16,2099.2543430756027,2026-08-17 03:28:14.244644,2026-08-17 03:28:16.131962,0 days 00:00:01.887318,256,0.8981165657764354,31,0.0014931215686034712,22,PRUNED
17,1710.341409315443,2026-08-17 03:28:16.132273,2026-08-17 03:28:59.905725,0 days 00:00:43.773452,256,0.9148206284434127,23,0.008579665382102029,12,COMPLETE
18,2158.2805876453895,2026-08-17 03:28:59.906140,2026-08-17 03:29:01.179722,0 days 00:00:01.273582,256,1.063644634104133,15,0.0013307525258343174,12,PRUNED
19,1711.7640988473936,2026-08-17 03:29:01.179973,2026-08-17 03:29:43.584169,0 days 00:00:42.404196,256,0.929711279908891,76,0.004119185013614355,21,COMPLETE
20,1737.4183793003783,2026-08-17 03:29:43.584485,2026-08-17 03:30:25.823100,0 days 00:00:42.238615,256,1.199730592432079,70,0.001955330483220659,29,COMPLETE
21,1708.1023660839405,2026-08-17 03:30:25.823449,2026-08-17 03:31:07.983788,0 days 00:00:42.160339,256,0.8692635375419306,73,0.004540652983540061,20,COMPLETE
22,1705.0877450164658,2026-08-17 03:31:07.984168,2026-08-17 03:31:50.165181,0 days 00:00:42.181013,256,0.7845515629287253,12,0.004708754278913129,9,COMPLETE
23,1710.3959698185258,2026-08-17 03:31:50.165512,2026-08-17 03:32:32.254508,0 days 00:00:42.088996,256,0.8214982595515193,12,0.0043847623534065535,8,COMPLETE
24,2218.039059215597,2026-08-17 03:32:32.254837,2026-08-17 03:32:32.983303,0 days 00:00:00.728466,512,0.7006716544014302,42,0.0008683785863978184,19,PRUNED
25,1708.787942518568,2026-08-17 03:32:32.983552,2026-08-17 03:33:15.198058,0 days 00:00:42.214506,256,0.9831708316731709,9,0.004952384753909382,8,COMPLETE
26,2070.0691197143005,2026-08-17 03:33:15.198419,2026-08-17 03:33:16.470032,0 days 00:00:01.271613,256,0.8168949203263509,42,0.002384087789771908,17,PRUNED
27,2149.5674791549886,2026-08-17 03:33:16.470301,2026-08-17 03:33:17.739250,0 days 00:00:01.268949,256,0.75270433621675,144,0.0002744914945377364,33,PRUNED
28,1716.858524339616,2026-08-17 03:33:17.739487,2026-08-17 03:33:59.760970,0 days 00:00:42.021483,256,1.1473447308226574,79,0.005374350617771032,24,COMPLETE
29,2209.9715045193384,2026-08-17 03:33:59.761370,2026-08-17 03:34:00.718702,0 days 00:00:00.957332,512,1.289131881032941,62,0.0008597339743504833,33,PRUNED
30,1705.6318853403955,2026-08-17 03:34:00.719104,2026-08-17 03:35:24.167485,0 days 00:01:23.448381,128,1.0249739370551536,33,0.003434175892174505,7,COMPLETE
31,1718.0110974504273,2026-08-17 03:35:24.167886,2026-08-17 03:36:48.028565,0 days 00:01:23.860679,128,1.0015033491543677,31,0.0029015239538729156,7,COMPLETE
32,1933.9867561921944,2026-08-17 03:36:48.028947,2026-08-17 03:36:54.967602,0 days 00:00:06.938655,128,0.8696176939783664,48,0.001954970516925321,14,PRUNED
33,1714.9866359009336,2026-08-17 03:36:54.967877,2026-08-17 03:38:18.343090,0 days 00:01:23.375213,128,1.2305525921191394,29,0.00616391338913064,6,COMPLETE
34,1693.7805066301148,2026-08-17 03:38:18.343424,2026-08-17 03:39:41.254999,0 days 00:01:22.911575,128,0.6425152712715743,64,0.0032283029737735815,19,COMPLETE
35,1702.9857415853594,2026-08-17 03:39:41.255454,2026-08-17 03:41:05.265213,0 days 00:01:24.009759,128,0.615957181091271,31,0.002722032357334309,10,COMPLETE
36,2033.9389594723825,2026-08-17 03:41:05.265577,2026-08-17 03:41:07.745296,0 days 00:00:02.479719,128,0.5923461280233671,93,0.0007744848460657835,11,PRUNED
37,2048.130337428619,2026-08-17 03:41:07.745551,2026-08-17 03:41:11.273781,0 days 00:00:03.528230,128,0.6243019192497278,253,0.0003267403425550674,18,PRUNED
38,1995.1961949096133,2026-08-17 03:41:11.274046,2026-08-17 03:41:14.583678,0 days 00:00:03.309632,128,0.7427189888928462,84,0.0016588214973370702,58,PRUNED
39,1949.0778989235916,2026-08-17 03:41:14.583937,2026-08-17 03:41:19.129299,0 days 00:00:04.545362,128,0.7539482168971299,54,0.002444398719173931,14,PRUNED
40,2208.706080962724,2026-08-17 03:41:19.129545,2026-08-17 03:41:19.412456,0 days 00:00:00.282911,5000,1.8652857622792953,64,0.006745422538041282,43,PRUNED
41,1701.8860084978455,2026-08-17 03:41:19.412705,2026-08-17 03:42:42.445794,0 days 00:01:23.033089,128,0.645820987330087,27,0.003104866839805352,6,COMPLETE
42,1707.2346098348164,2026-08-17 03:42:42.446134,2026-08-17 03:44:04.883219,0 days 00:01:22.437085,128,0.6527737246328613,6,0.003077236989740082,5,COMPLETE
43,2022.8996438338618,2026-08-17 03:44:04.883555,2026-08-17 03:44:07.514203,0 days 00:00:02.630648,128,0.5790443067504454,24,0.002214085856815947,11,PRUNED
